symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
SHREEJISPG,713.1,11.64,39,14,2.8,0.0153,0.788,-0.107,0.27,0.41,34.93,100.0,0.32,715.0,693.55,736.45,822.25,695.0,2.8,698.2,2.35,False,0.19,False,5.36,0.00789,2026-09-09 15:15:00,0,
GKSL,176.4,12.74,42,12,4.35,0.0171,0.66,-0.022,2.33,0.6,5.37,100.0,0.29,180.6,175.18,186.02,207.69,172.75,4.35,173.24,4.08,False,0.09,True,3.45,0.00491,2026-09-09 15:15:00,0,turnover 5.37cr vs floor 5.0
PAISALO,79.92,21.15,30,16,4.54,0.0194,0.674,-0.366,0.63,0.76,29.92,100.0,0.21,80.43,78.02,82.84,92.49,76.78,4.54,77.13,4.1,False,0.48,True,3.3,0.00384,2026-09-09 15:15:00,0,
INDOMIM,994.0,16.58,29,12,4.93,0.0267,0.642,0.026,0.4,0.84,119.02,100.0,0.45,998.0,968.06,1027.94,1147.7,948.8,4.93,952.95,4.51,False,0.32,True,3.04,0.00316,2026-09-09 15:15:00,0,
SMLMAH,6525.0,25.75,38,17,5.54,0.0199,0.663,-0.53,1.57,0.47,23.85,100.0,0.21,6629.0,6430.13,6827.87,7623.35,6262.0,5.54,6301.5,4.94,False,0.05,True,2.71,0.00858,2026-09-09 15:15:00,0,
KLBRENG-B,466.4,20.75,44,22,6.0,0.0317,0.496,-0.037,2.63,0.65,8.05,100.0,0.23,479.0,464.63,493.37,550.85,450.25,6.0,450.4,5.97,False,0.03,True,2.5,0.00652,2026-09-09 15:15:00,0,
SAILIFE,1677.0,11.64,42,28,7.94,0.0281,0.826,-0.622,1.17,0.79,40.7,100.0,0.46,1696.8,1645.9,1747.7,1951.32,1562.1,7.94,1571.0,7.41,False,0.31,True,1.89,0.00532,2026-09-09 15:15:00,0,
PCJEWELLER,13.91,40.1,25,15,8.14,0.0197,0.496,-0.246,3.2,0.73,246.15,100.0,0.34,14.37,13.94,14.8,16.53,13.2,8.14,13.41,6.68,False,0.35,True,1.84,0.00357,2026-09-09 15:15:00,0,
LALITHAA,336.2,25.5,44,21,8.93,0.038,0.802,-0.379,1.09,0.75,229.58,100.0,0.3,339.9,329.7,350.1,390.88,309.55,8.93,313.6,7.74,False,0.46,True,1.68,0.00946,2026-09-09 15:15:00,0,
