symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
GMMPFAUDLR,1319.2,29.65,45,12,2.54,0.0163,0.811,-0.038,0.46,0.81,12.31,98.1,0.27,1325.3,1285.54,1365.06,1524.09,1291.7,2.54,1296.3,2.19,False,0.02,False,5.91,0.00318,2026-09-10 15:15:00,0,
WELENT,797.95,23.83,44,19,3.21,0.0195,0.731,-0.123,0.5,0.22,19.03,97.2,0.27,802.0,777.94,826.06,922.3,776.25,3.21,779.3,2.83,False,0.21,True,4.67,0.01377,2026-09-10 15:15:00,0,pct_of_60d_high 97.2% vs floor 97.0
GCSL,612.5,13.5,40,25,3.66,0.0155,0.827,-0.231,0.71,0.65,20.24,100.0,0.21,616.9,598.39,635.41,709.43,594.3,3.66,598.25,3.02,False,0.22,True,4.1,0.00503,2026-09-10 15:15:00,0,
NEPHROPLUS,749.2,10.09,45,15,4.15,0.0191,0.851,-0.147,1.08,0.66,7.07,100.0,0.33,757.4,734.68,780.12,871.01,726.0,4.15,732.15,3.33,False,0.67,True,3.61,0.0061,2026-09-10 15:15:00,0,
CAPLIPOINT,2795.4,14.23,43,22,4.85,0.0306,0.713,0.038,1.77,0.22,16.52,99.0,0.47,2845.9,2760.52,2931.28,3272.78,2707.9,4.85,2713.1,4.67,False,0.14,True,3.09,0.0191,2026-09-10 15:15:00,0,
AEROFLEX,567.0,11.52,41,15,4.89,0.0221,0.676,0.093,1.61,0.54,38.75,98.7,0.37,576.3,559.01,593.59,662.74,548.1,4.89,552.5,4.13,False,0.36,True,3.07,0.0075,2026-09-10 15:15:00,0,
WELSPUNLIV,210.5,13.88,35,27,5.06,0.0241,0.456,0.047,2.3,0.84,47.11,99.7,0.19,215.45,208.99,221.91,247.77,204.54,5.06,205.19,4.76,False,0.21,True,2.96,0.00195,2026-09-10 15:15:00,0,
STAR,1217.0,18.93,40,12,5.1,0.0164,0.738,-0.114,0.43,0.47,18.38,100.0,0.3,1222.3,1185.63,1258.97,1405.64,1160.0,5.1,1186.7,2.91,True,2.12,True,2.94,0.00757,2026-09-10 15:15:00,0,
KSHINTL,1175.0,27.5,34,15,5.72,0.0198,0.468,-0.151,1.83,0.63,13.7,100.0,0.14,1196.95,1161.04,1232.86,1376.49,1128.5,5.72,1136.0,5.09,False,0.55,True,2.62,0.00435,2026-09-10 15:15:00,0,
CGCL,273.95,17.32,44,27,5.98,0.0169,0.688,0.193,3.94,0.5,78.22,99.4,0.18,285.2,276.64,293.76,327.98,268.15,5.98,268.45,5.87,False,-0.0,True,2.51,0.00659,2026-09-10 15:15:00,0,
HERITGFOOD,398.05,10.28,29,23,6.74,0.0365,0.761,-0.226,1.35,0.49,7.18,100.0,0.33,403.5,391.39,415.61,464.02,376.3,6.74,376.65,6.65,False,0.02,True,2.23,0.01551,2026-09-10 15:15:00,0,
WSTCSTPAPR,714.0,13.27,36,21,7.05,0.0442,0.731,-0.193,0.11,0.72,8.93,100.0,0.31,714.8,693.36,736.24,822.02,664.4,7.05,667.5,6.62,False,0.34,True,2.13,0.01038,2026-09-10 15:15:00,0,
MAHSEAMLES,718.0,11.38,27,25,7.64,0.055,0.839,-0.126,0.83,0.72,12.37,100.0,0.37,724.0,702.28,745.72,832.6,668.7,7.64,669.6,7.51,False,0.06,True,1.96,0.01408,2026-09-10 15:15:00,0,
MILKYMIST,278.83,37.95,39,20,7.84,0.0592,0.789,0.039,1.98,0.32,199.1,98.8,0.33,284.47,275.94,293.0,327.14,262.18,7.84,262.7,7.65,False,0.09,True,1.91,0.04273,2026-09-10 15:15:00,0,
PAISALO,82.75,19.93,29,24,8.05,0.029,0.872,-0.565,0.9,0.83,34.12,100.0,0.22,83.5,81.0,86.0,96.02,76.78,8.05,77.13,7.63,False,0.47,True,1.86,0.00508,2026-09-10 15:15:00,0,
KLBRENG-B,477.4,20.75,44,29,8.19,0.0342,0.632,-0.304,2.65,0.67,8.06,100.0,0.23,490.4,475.69,505.11,563.96,450.25,8.19,450.4,8.16,False,0.03,True,1.83,0.00848,2026-09-10 15:15:00,0,
INDOMIM,1002.0,16.58,19,29,8.43,0.0291,0.657,-0.454,2.58,0.61,103.86,100.0,0.39,1028.5,997.64,1059.36,1182.77,941.75,8.43,944.65,8.15,False,0.23,True,1.78,0.00845,2026-09-10 15:15:00,0,
SUNSHINE,511.0,31.25,45,26,9.53,0.027,0.681,-0.598,2.11,0.51,51.34,100.0,0.37,522.0,506.34,537.66,600.3,472.25,9.53,476.45,8.73,False,0.44,True,1.57,0.0115,2026-09-10 15:15:00,0,
