symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
LMW,19849.0,21.63,44,29,3.8,0.0203,0.663,0.088,1.49,0.41,5.27,100.0,0.26,20150.0,19545.5,20754.5,23172.5,19384.0,3.8,True,3.95,0.00946,2026-08-21 15:15:00,0,turnover 5.27cr vs floor 5.0
MARINE,375.65,15.28,41,13,4.0,0.0178,0.808,0.201,2.39,0.54,22.8,97.4,0.31,384.85,373.3,396.4,442.58,369.45,4.0,True,3.75,0.0075,2026-08-21 15:15:00,0,pct_of_60d_high 97.4% vs floor 97.0
MOTISONS,17.02,28.16,31,20,4.7,0.0196,0.745,-0.243,1.22,0.3,13.77,98.9,0.3,17.23,16.71,17.75,19.81,16.42,4.7,True,3.19,0.01298,2026-08-21 15:15:00,0,
JYOTICNC,990.0,20.92,45,14,4.82,0.0152,0.847,-0.591,0.2,0.59,50.88,100.0,0.22,991.95,962.19,1021.71,1140.74,944.15,4.82,True,3.11,0.00628,2026-08-21 15:15:00,0,
DYCL,458.8,17.91,45,30,5.26,0.0283,0.531,0.04,2.12,0.41,10.19,99.1,0.29,468.75,454.69,482.81,539.06,444.1,5.26,True,2.85,0.01022,2026-08-21 15:15:00,0,
PAYTM,1632.0,14.91,36,30,5.62,0.017,0.717,-0.635,0.39,0.6,430.46,98.9,0.33,1638.4,1589.25,1687.55,1884.16,1546.3,5.62,True,2.67,0.0056,2026-08-21 15:15:00,0,
YATRA,117.26,17.17,45,23,5.96,0.0208,0.665,-0.261,2.04,0.36,6.16,98.4,0.42,119.7,116.11,123.29,137.66,112.57,5.96,True,2.52,0.01015,2026-08-21 15:15:00,0,
AZAD,2837.8,21.14,31,24,6.08,0.0248,0.71,0.12,2.08,0.36,71.76,97.0,0.48,2898.2,2811.25,2985.15,3332.93,2722.0,6.08,True,2.47,0.0133,2026-08-21 15:15:00,0,pct_of_60d_high 97.0% vs floor 97.0
LASERPOWER,338.05,19.84,28,21,6.39,0.0281,0.564,-0.251,1.14,0.42,39.72,100.0,0.31,341.95,331.69,352.21,393.24,320.1,6.39,True,2.35,0.0109,2026-08-21 15:15:00,0,
PTCIL,20701.0,10.41,27,29,7.79,0.0503,0.841,-0.146,0.24,0.4,15.74,100.0,0.29,20750.0,20127.5,21372.5,23862.5,19134.0,7.79,True,1.93,0.0282,2026-08-21 15:15:00,0,
ROLEXRINGS,182.9,17.77,36,30,8.39,0.0324,0.593,-0.3,3.43,0.14,22.36,100.0,0.44,189.4,183.72,195.08,217.81,173.51,8.39,True,1.79,0.01875,2026-08-21 15:15:00,0,
