symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
RISHABH,738.45,10.13,42,13,4.52,0.0158,0.659,0.322,1.54,0.52,10.97,99.6,0.36,750.0,727.5,772.5,862.5,716.1,4.52,717.3,4.36,False,0.05,True,3.32,0.00541,2026-09-04 15:15:00,0,
KENNAMET,4688.5,18.21,41,20,4.72,0.032,0.749,0.013,0.98,0.44,15.97,97.5,0.35,4734.7,4592.66,4876.74,5444.9,4511.1,4.72,4532.2,4.28,False,0.3,True,3.18,0.01571,2026-09-04 15:15:00,0,pct_of_60d_high 97.5% vs floor 97.0
SSWL,360.9,26.25,36,13,4.87,0.0206,0.498,0.142,1.55,0.22,11.12,100.0,0.22,366.6,355.6,377.6,421.59,348.75,4.87,350.0,4.53,False,0.29,True,3.08,0.00999,2026-09-04 15:15:00,0,
CRAFTSMAN,11398.0,11.06,30,27,5.3,0.034,0.722,-0.091,1.22,0.66,24.38,100.0,0.45,11539.0,11192.83,11885.17,13269.85,10928.0,5.3,10965.0,4.97,False,0.11,True,2.83,0.00914,2026-09-04 15:15:00,0,
YATHARTH,991.1,20.51,45,30,5.48,0.0307,0.705,0.05,1.92,0.32,17.74,98.6,0.36,1010.55,980.23,1040.87,1162.13,955.2,5.48,959.0,5.1,False,0.28,True,2.74,0.01746,2026-09-04 15:15:00,0,
QPOWER,1495.3,17.03,33,23,6.75,0.0475,0.609,-0.064,0.31,0.49,17.05,99.8,0.35,1499.9,1454.9,1544.9,1724.88,1398.6,6.75,1403.0,6.46,False,0.07,True,2.22,0.01707,2026-09-04 15:15:00,0,
TIMEX,669.85,15.76,35,29,7.06,0.0384,0.783,0.009,2.61,0.58,11.72,100.0,0.22,687.8,667.17,708.43,790.97,639.25,7.06,640.9,6.82,False,0.02,True,2.12,0.01416,2026-09-04 15:15:00,0,
FCL,51.7,12.52,45,30,7.85,0.053,0.771,-0.129,0.77,0.84,36.52,99.8,0.48,52.1,50.54,53.66,59.91,48.01,7.85,48.2,7.49,False,0.12,True,1.91,0.00723,2026-09-04 15:15:00,0,
RATNAVEER,308.0,20.88,45,23,8.41,0.0467,0.838,-0.323,0.0,0.43,123.16,97.8,0.35,308.0,298.76,317.24,354.2,282.1,8.41,283.15,8.07,False,0.29,True,1.78,0.02689,2026-09-04 15:15:00,0,
IOLCP,199.5,19.39,45,30,9.21,0.0324,0.529,-0.393,2.67,0.53,35.44,100.0,0.4,204.98,198.83,211.13,235.73,186.1,9.21,187.6,8.48,False,0.16,True,1.63,0.00937,2026-09-04 15:15:00,0,
OMAXE,136.0,38.48,44,15,9.37,0.0415,0.721,-0.201,1.97,0.25,26.99,100.0,0.27,138.73,134.57,142.89,159.54,125.73,9.37,127.29,8.25,False,0.99,True,1.6,0.03049,2026-09-04 15:15:00,0,
SETL,408.05,30.29,45,26,9.91,0.0603,0.899,-0.322,0.65,0.55,18.4,100.0,0.23,410.7,398.38,423.02,472.3,370.0,9.91,371.5,9.54,False,0.13,True,1.51,0.03174,2026-09-04 15:15:00,0,
