symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
CAPLIPOINT,2814.0,15.41,45,19,3.99,0.0158,0.518,0.105,2.1,0.53,12.88,100.0,0.39,2874.3,2788.07,2960.53,3305.45,2759.6,3.99,2765.3,3.79,False,0.08,True,3.76,0.00432,2026-09-07 15:15:00,0,
UFLEX,682.7,19.34,43,22,5.51,0.0153,0.567,0.209,3.52,0.45,9.88,97.8,0.34,707.6,686.37,728.83,813.74,668.6,5.51,675.0,4.61,False,0.24,True,2.72,0.0055,2026-09-07 15:15:00,0,
ATLANTAELE,1942.1,14.93,32,18,5.62,0.0165,0.712,-0.551,0.81,0.64,17.75,97.3,0.22,1958.0,1899.26,2016.74,2251.7,1847.9,5.62,1855.4,5.24,False,0.46,True,2.67,0.00483,2026-09-07 15:15:00,0,pct_of_60d_high 97.3% vs floor 97.0
AEROFLEX,558.15,16.35,39,29,5.94,0.0312,0.635,-0.14,0.63,0.45,37.29,98.6,0.31,561.7,544.85,578.55,645.96,528.35,5.94,531.85,5.31,False,0.21,True,2.53,0.01251,2026-09-07 15:15:00,0,
KENNAMET,4693.0,18.21,40,28,6.01,0.0258,0.545,-0.191,2.23,0.53,11.84,98.8,0.43,4799.8,4655.81,4943.79,5519.77,4511.1,6.01,4532.2,5.58,False,0.3,True,2.5,0.00756,2026-09-07 15:15:00,0,
MANINDS,822.0,13.48,41,16,6.16,0.0299,0.541,-0.127,0.6,0.66,32.35,100.0,0.43,826.95,802.14,851.76,950.99,776.0,6.16,778.0,5.92,False,0.18,True,2.44,0.00626,2026-09-07 15:15:00,0,
YATHARTH,994.8,19.65,45,30,6.26,0.0206,0.686,-0.42,2.37,0.24,16.65,99.4,0.48,1019.0,988.43,1049.57,1171.85,955.2,6.26,959.0,5.89,False,0.27,True,2.4,0.01248,2026-09-07 15:15:00,0,
UNIPARTS,902.1,13.38,36,21,6.39,0.0371,0.654,0.034,0.65,0.62,7.64,99.3,0.24,908.0,880.76,935.24,1044.2,850.0,6.39,867.6,4.45,True,1.02,True,2.35,0.0105,2026-09-07 15:15:00,0,
MOREPENLAB,118.88,24.75,43,17,7.7,0.0307,0.539,-0.294,2.56,0.63,136.28,100.0,0.25,122.0,118.34,125.66,140.3,112.6,7.7,113.0,7.38,False,0.33,True,1.95,0.00735,2026-09-07 15:15:00,0,
TECHNOCRAF,390.0,12.79,45,22,8.56,0.042,0.698,-0.285,1.81,0.7,29.3,100.0,0.5,397.2,385.28,409.12,456.78,363.2,8.56,366.5,7.73,False,0.08,True,1.75,0.00966,2026-09-07 15:15:00,0,max_bar_share 0.5 vs cut 0.5
SSWL,369.85,26.25,35,21,9.11,0.0277,0.588,-0.433,3.55,0.21,11.59,100.0,0.24,383.45,371.95,394.95,440.97,348.5,9.11,350.0,8.72,False,0.34,True,1.65,0.01566,2026-09-07 15:15:00,0,
