symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
KTKBANK,333.25,10.24,30,12,3.34,0.0185,0.492,0.07,1.46,0.84,56.78,100.0,0.38,338.2,328.05,348.35,388.93,326.9,3.34,True,4.49,0.00161,2026-08-24 15:15:00,0,
ACMESOLAR,410.7,12.61,23,12,4.02,0.0198,0.774,-0.093,0.19,0.75,33.32,100.0,0.4,411.5,399.15,423.85,473.22,394.95,4.02,True,3.73,0.00427,2026-08-24 15:15:00,0,
MARINE,383.5,15.28,41,20,4.32,0.023,0.74,-0.149,0.69,0.52,23.32,97.8,0.31,386.15,374.57,397.73,444.07,369.45,4.32,True,3.47,0.00932,2026-08-24 15:15:00,0,
PARAS,1521.0,23.35,45,12,4.68,0.0216,0.687,-0.037,1.37,0.6,101.22,97.3,0.27,1542.1,1495.84,1588.36,1773.41,1470.0,4.68,True,3.21,0.00727,2026-08-24 15:15:00,0,pct_of_60d_high 97.3% vs floor 97.0
CYIENTDLM,737.05,11.34,37,20,5.66,0.0294,0.588,-0.045,1.09,0.73,22.12,97.5,0.43,745.15,722.8,767.5,856.92,703.0,5.66,True,2.65,0.00517,2026-08-24 15:15:00,0,pct_of_60d_high 97.5% vs floor 97.0
CHENNPETRO,1412.1,13.15,30,25,5.85,0.036,0.672,0.058,3.66,0.79,133.97,98.4,0.44,1465.7,1421.73,1509.67,1685.55,1380.0,5.85,True,2.56,0.00543,2026-08-24 15:15:00,0,
HEG,725.0,11.07,28,29,6.56,0.0288,0.565,-0.074,2.68,0.49,49.31,99.5,0.33,745.0,722.65,767.35,856.75,696.1,6.56,True,2.29,0.00899,2026-08-24 15:15:00,0,
BDL,1368.0,11.0,44,30,6.65,0.0372,0.57,0.052,2.4,0.52,65.83,97.4,0.22,1401.7,1359.65,1443.75,1611.95,1308.5,6.65,True,2.26,0.01092,2026-08-24 15:15:00,0,pct_of_60d_high 97.4% vs floor 97.0
MANIPALHOS,741.05,10.5,35,19,6.65,0.0347,0.743,-0.089,1.09,0.69,88.75,99.2,0.28,749.2,726.72,771.68,861.58,699.35,6.65,True,2.26,0.00876,2026-08-24 15:15:00,0,
MSTCLTD,730.65,26.39,40,25,7.0,0.0385,0.824,-0.284,1.52,0.82,9.33,99.7,0.17,741.9,719.64,764.16,853.18,690.0,7.0,True,2.14,0.00693,2026-08-24 15:15:00,0,
