symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
MCX,3332.0,13.42,45,16,3.48,0.0213,0.894,0.018,0.89,0.69,571.27,100.0,0.16,3362.0,3261.14,3462.86,3866.3,3245.0,3.48,3273.0,2.65,False,0.77,True,4.31,0.00662,2026-08-28 15:15:00,0,
HINDZINC,622.0,14.45,38,15,3.64,0.0196,0.76,-0.004,1.46,0.44,245.43,100.0,0.39,631.2,612.26,650.14,725.88,608.25,3.64,610.1,3.34,False,0.16,True,4.12,0.00936,2026-08-28 15:15:00,0,
IDBI,92.68,17.08,35,15,4.92,0.0176,0.86,0.294,3.69,0.48,19.3,100.0,0.37,96.23,93.34,99.12,110.66,91.5,4.92,91.85,4.55,False,0.14,True,3.05,0.00888,2026-08-28 15:15:00,0,
PARADEEP,165.5,13.51,41,19,4.99,0.027,0.557,-0.153,1.49,0.53,26.7,100.0,0.43,168.0,162.96,173.04,193.2,159.61,4.99,160.3,4.58,False,0.24,True,3.01,0.00798,2026-08-28 15:15:00,0,
TIMEX,656.0,19.97,38,15,5.59,0.0234,0.818,-0.385,0.15,0.63,10.74,100.0,0.24,657.0,637.29,676.71,755.55,620.25,5.59,623.15,5.15,False,0.08,True,2.68,0.00837,2026-08-28 15:15:00,0,
KRBL,435.55,13.97,31,18,5.68,0.0185,0.656,0.296,3.79,0.59,15.3,100.0,0.5,452.7,439.12,466.28,520.6,427.0,5.68,431.0,4.79,False,0.68,True,2.64,0.00547,2026-08-28 15:15:00,0,max_bar_share 0.5 vs cut 0.5
FCL,50.03,20.33,45,16,6.17,0.0355,0.777,0.032,1.96,0.68,31.86,99.4,0.27,51.03,49.5,52.56,58.68,47.88,6.17,48.35,5.25,False,0.71,True,2.43,0.01043,2026-08-28 15:15:00,0,
SOLARA,623.7,29.68,45,25,6.65,0.0285,0.775,0.131,3.21,0.18,6.21,98.6,0.34,644.4,625.07,663.73,741.06,601.55,6.65,608.2,5.62,False,0.81,True,2.26,0.02283,2026-08-28 15:15:00,0,
REDINGTON,366.6,14.59,26,29,7.48,0.0245,0.663,-0.42,3.13,0.76,75.3,100.0,0.45,378.45,367.1,389.8,435.22,350.15,7.48,350.65,7.35,False,0.03,True,2.01,0.00441,2026-08-28 15:15:00,0,
PTCIL,22110.0,14.44,45,26,7.75,0.0522,0.592,-0.113,0.41,0.56,32.31,100.0,0.23,22200.0,21534.0,22866.0,25530.0,20480.0,7.75,20539.0,7.48,False,0.27,True,1.94,0.01541,2026-08-28 15:15:00,0,
