symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
BRIGADE,655.1,13.87,43,12,3.59,0.0175,0.866,0.378,2.37,0.79,13.74,100.0,0.22,671.0,650.87,691.13,771.65,646.9,3.59,648.5,3.35,False,0.16,True,4.18,0.00347,2026-08-26 15:15:00,0,
NILKAMAL,2103.0,17.97,29,18,4.81,0.0324,0.848,-0.146,0.33,0.09,6.72,100.0,0.24,2110.0,2046.7,2173.3,2426.5,2008.6,4.81,2013.0,4.6,False,0.08,True,3.12,0.02944,2026-08-26 15:15:00,0,
SEAMECLTD,1658.1,14.89,42,30,5.03,0.0164,0.865,0.333,3.42,0.25,6.2,99.8,0.31,1716.9,1665.39,1768.41,1974.43,1630.5,5.03,1640.1,4.47,False,0.26,True,2.98,0.01179,2026-08-26 15:15:00,0,
JYOTICNC,1012.7,18.78,38,23,5.15,0.0167,0.794,-0.493,0.72,0.5,53.79,100.0,0.23,1020.0,989.4,1050.6,1173.0,967.45,5.15,974.7,4.44,False,0.47,True,2.91,0.00779,2026-08-26 15:15:00,0,
HAPPSTMNDS,447.85,13.12,42,22,5.31,0.022,0.604,-0.218,2.0,0.46,30.86,100.0,0.48,457.0,443.29,470.71,525.55,432.75,5.31,434.5,4.92,False,0.2,True,2.82,0.00801,2026-08-26 15:15:00,0,
MOREPENLAB,97.89,21.75,40,20,5.65,0.0315,0.736,-0.054,0.37,0.5,119.64,100.0,0.23,98.25,95.3,101.2,112.99,92.7,5.65,93.19,5.15,False,0.08,True,2.65,0.01404,2026-08-26 15:15:00,0,
KIRIINDUS,515.0,30.62,34,12,5.91,0.0284,0.786,-0.199,0.92,0.26,7.19,98.5,0.41,519.8,504.21,535.39,597.77,489.1,5.91,492.2,5.31,False,0.41,True,2.54,0.02139,2026-08-26 15:15:00,0,
GLAXO,3034.4,16.6,45,30,6.02,0.026,0.716,-0.293,0.51,0.36,14.3,99.8,0.34,3049.9,2958.4,3141.4,3507.38,2866.3,6.02,2899.5,4.93,False,0.52,True,2.49,0.01376,2026-08-26 15:15:00,0,
GPPL,169.51,13.2,45,30,6.17,0.0236,0.795,-0.315,2.42,0.74,15.07,100.0,0.26,173.72,168.51,178.93,199.78,163.0,6.17,163.22,6.04,False,0.05,True,2.43,0.00546,2026-08-26 15:15:00,0,
FCL,50.82,21.32,35,13,6.62,0.0223,0.873,-0.563,0.16,0.74,28.49,99.2,0.39,50.9,49.37,52.43,58.53,47.53,6.62,48.0,5.7,False,0.55,True,2.27,0.00608,2026-08-26 15:15:00,0,
JNPR,269.0,17.38,17,27,7.11,0.0356,0.806,0.15,2.89,0.3,31.56,98.3,0.32,277.0,268.69,285.31,318.55,257.31,7.11,257.84,6.92,False,0.09,True,2.11,0.02293,2026-08-26 15:15:00,0,
MOTILALOFS,1040.0,12.82,43,26,7.58,0.02,0.868,-0.601,0.76,0.71,53.5,100.0,0.33,1048.0,1016.56,1079.44,1205.2,968.55,7.58,990.0,5.53,True,1.94,True,1.98,0.00565,2026-08-26 15:15:00,0,
INDOBORAX,504.25,25.34,27,24,8.16,0.0412,0.489,0.079,3.86,0.22,5.09,100.0,0.42,524.5,508.76,540.24,603.17,481.7,8.16,487.4,7.07,False,0.18,True,1.84,0.01887,2026-08-26 15:15:00,0,turnover 5.09cr vs floor 5.0
COHANCE,462.35,10.22,27,29,8.32,0.0506,0.779,0.086,3.88,0.36,23.98,98.9,0.48,481.0,466.57,495.43,553.15,441.0,8.32,442.0,8.11,False,0.17,True,1.8,0.02663,2026-08-26 15:15:00,0,
ASIANENE,478.55,30.91,31,30,8.6,0.0522,0.609,0.095,2.53,0.26,10.96,100.0,0.18,490.95,476.22,505.68,564.59,448.75,8.6,450.0,8.34,False,0.05,True,1.74,0.03005,2026-08-26 15:15:00,0,
AVALON,2255.0,22.34,38,30,8.77,0.0568,0.743,0.037,1.07,0.61,55.8,97.0,0.28,2279.3,2210.92,2347.68,2621.2,2079.4,8.77,2084.1,8.56,False,0.17,True,1.71,0.02005,2026-08-26 15:15:00,0,pct_of_60d_high 97.0% vs floor 97.0
RATNAVEER,279.27,27.77,45,16,9.06,0.0301,0.598,-0.3,2.35,0.64,92.02,100.0,0.22,286.0,277.42,294.58,328.9,260.1,9.06,262.17,8.33,False,0.44,True,1.66,0.0081,2026-08-26 15:15:00,0,
