symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
JKPAPER,414.25,10.25,24,30,4.2,0.0166,0.532,0.177,2.26,0.44,8.68,98.6,0.42,423.85,411.13,436.57,487.43,406.05,4.2,407.75,3.8,False,0.18,True,3.57,0.00532,2026-09-11 15:15:00,0,
INDOMIM,1014.45,21.92,43,12,4.68,0.024,0.742,0.066,1.32,0.7,97.34,100.0,0.3,1028.0,997.16,1058.84,1182.2,979.85,4.68,989.65,3.73,False,0.63,True,3.21,0.0065,2026-09-11 15:15:00,0,
KLBRENG-B,486.95,14.9,45,12,5.04,0.023,0.747,-0.061,0.7,0.81,8.31,100.0,0.31,490.4,475.69,505.11,563.96,465.7,5.04,475.0,3.14,True,1.8,True,2.98,0.0038,2026-09-11 15:15:00,0,
UNIMECH,1610.0,15.78,40,15,5.2,0.0198,0.804,-0.314,0.3,0.64,13.82,97.9,0.24,1614.9,1566.45,1663.35,1857.13,1531.0,5.2,1561.1,3.33,True,1.36,True,2.88,0.0067,2026-09-11 15:15:00,0,
AEROFLEX,563.95,11.52,40,23,5.77,0.0198,0.479,0.047,2.77,0.59,38.75,99.3,0.33,580.0,562.6,597.4,667.0,546.55,5.77,552.5,4.74,False,0.27,True,2.6,0.00419,2026-09-11 15:15:00,0,
SYMBIOTEC,1138.0,12.67,27,12,5.81,0.0286,0.866,0.257,3.07,0.64,149.51,98.4,0.47,1174.0,1138.78,1209.22,1350.1,1105.75,5.81,1113.5,5.15,False,0.2,True,2.58,0.00981,2026-09-11 15:15:00,0,
VENUSPIPES,2015.6,25.0,37,22,6.4,0.0243,0.787,-0.326,1.2,0.55,13.89,100.0,0.31,2040.0,1978.8,2101.2,2346.0,1909.4,6.4,1928.7,5.46,False,0.01,True,2.34,0.01063,2026-09-11 15:15:00,0,
RISHABH,829.6,19.26,38,21,6.48,0.0347,0.581,-0.06,2.41,0.42,9.48,100.0,0.4,850.05,824.55,875.55,977.56,795.0,6.48,801.7,5.69,False,0.16,True,2.31,0.01354,2026-09-11 15:15:00,0,
PCJEWELLER,13.74,42.99,41,13,7.55,0.0182,0.778,0.318,3.92,0.53,326.51,99.5,0.32,14.3,13.87,14.73,16.45,13.22,7.55,13.51,5.52,True,1.61,True,1.99,0.0092,2026-09-11 15:15:00,0,
WSTCSTPAPR,713.8,12.75,35,29,7.94,0.0313,0.674,-0.448,1.09,0.7,10.06,100.0,0.33,721.7,700.05,743.35,829.96,664.4,7.94,667.5,7.51,False,0.34,True,1.89,0.00698,2026-09-11 15:15:00,0,
SMLMAH,6591.0,25.4,45,17,8.29,0.0487,0.913,0.014,0.89,0.42,24.79,100.0,0.19,6650.0,6450.5,6849.5,7647.5,6098.5,8.29,6277.0,5.61,True,2.35,True,1.81,0.03216,2026-09-11 15:15:00,0,
SAKAR,1158.55,28.55,45,16,9.21,0.0278,0.495,-0.24,3.05,0.34,5.77,98.7,0.34,1195.0,1159.15,1230.85,1374.25,1084.95,9.21,1113.55,6.82,True,1.24,True,1.63,0.01134,2026-09-11 15:15:00,0,
SOLARA,749.15,15.55,18,24,9.3,0.0233,0.677,-0.612,1.37,0.78,17.21,100.0,0.45,759.55,736.76,782.34,873.48,688.9,9.3,690.45,9.1,False,0.02,True,1.61,0.00388,2026-09-11 15:15:00,0,
MAHSEAMLES,728.9,11.38,29,30,9.39,0.0433,0.829,-0.461,1.23,0.81,14.05,100.0,0.41,738.0,715.86,760.14,848.7,668.7,9.39,669.6,9.27,False,0.05,True,1.6,0.0075,2026-09-11 15:15:00,0,
