symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
HAPPSTMNDS,445.95,13.12,42,15,4.31,0.0233,0.691,0.083,1.39,0.42,27.56,100.0,0.48,452.25,438.68,465.82,520.09,432.75,4.31,True,3.48,0.01041,2026-08-25 15:15:00,0,
GLAXO,2963.4,17.41,44,27,5.2,0.0274,0.727,0.123,1.98,0.49,14.3,99.0,0.32,3023.4,2932.7,3114.1,3476.91,2866.3,5.2,True,2.88,0.01162,2026-08-25 15:15:00,0,
SGMART,837.4,14.92,45,19,5.29,0.0165,0.592,-0.398,1.11,0.45,11.79,100.0,0.26,846.8,821.4,872.2,973.82,802.0,5.29,True,2.84,0.00606,2026-08-25 15:15:00,0,
JYOTHYLAB,212.88,11.25,37,30,5.87,0.0192,0.578,-0.412,1.08,0.42,9.95,99.2,0.48,215.21,208.75,221.67,247.49,202.58,5.87,True,2.56,0.00705,2026-08-25 15:15:00,0,
THELEELA,554.9,12.7,32,15,5.98,0.0202,0.651,0.172,3.49,0.42,17.31,100.0,0.21,574.95,557.7,592.2,661.19,540.55,5.98,True,2.51,0.00832,2026-08-25 15:15:00,0,
TIMEX,617.65,16.27,33,17,6.27,0.0312,0.764,-0.129,1.01,0.81,9.75,100.0,0.27,623.95,605.23,642.67,717.54,584.8,6.27,True,2.39,0.00524,2026-08-25 15:15:00,0,
TFCILTD,137.5,17.24,41,21,7.08,0.0528,0.784,-0.161,0.32,0.64,86.8,100.0,0.37,137.94,133.8,142.08,158.63,128.18,7.08,True,2.12,0.01761,2026-08-25 15:15:00,0,
SHREEJISPG,645.5,11.08,17,30,7.69,0.0437,0.631,-0.042,2.32,0.58,34.5,97.0,0.22,660.8,640.98,680.62,759.92,610.0,7.69,True,1.95,0.01253,2026-08-25 15:15:00,0,pct_of_60d_high 97.0% vs floor 97.0
MANIPALHOS,764.8,10.5,35,26,9.0,0.0344,0.804,-0.385,0.48,0.8,88.93,100.0,0.28,768.5,745.44,791.56,883.77,699.35,9.0,True,1.67,0.00609,2026-08-25 15:15:00,0,
