symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
BRIGADE,656.75,13.87,43,19,3.59,0.0204,0.696,0.169,2.12,0.61,13.74,100.0,0.22,671.0,650.87,691.13,771.65,646.9,3.59,648.5,3.35,False,0.16,True,4.18,0.00614,2026-08-27 15:15:00,0,
NILKAMAL,2081.6,17.97,24,30,4.98,0.0241,0.555,-0.2,1.35,0.08,5.97,100.0,0.26,2110.0,2046.7,2173.3,2426.5,2005.0,4.98,2013.0,4.6,False,0.17,True,3.01,0.01433,2026-08-27 15:15:00,0,
MOREPENLAB,96.7,22.67,45,30,6.99,0.0218,0.458,-0.206,2.98,0.48,122.24,100.0,0.19,99.67,96.68,102.66,114.62,92.7,6.99,93.19,6.5,False,0.08,True,2.15,0.00613,2026-08-27 15:15:00,0,
HAPPYFORGE,2250.8,16.88,44,30,7.35,0.027,0.64,-0.294,1.23,0.76,15.35,97.5,0.45,2278.8,2210.44,2347.16,2620.62,2111.3,7.35,2151.1,5.6,True,1.15,True,2.04,0.00472,2026-08-27 15:15:00,0,pct_of_60d_high 97.5% vs floor 97.0
AVALON,2242.5,22.34,45,30,8.77,0.0403,0.735,-0.371,1.61,0.65,55.8,97.0,0.39,2279.2,2210.82,2347.58,2621.08,2079.4,8.77,2084.1,8.56,False,0.17,True,1.71,0.01262,2026-08-27 15:15:00,0,pct_of_60d_high 97.0% vs floor 97.0
WELCORP,2406.8,30.74,41,22,9.55,0.0485,0.702,-0.03,1.23,0.79,115.07,100.0,0.45,2436.7,2363.6,2509.8,2802.2,2204.1,9.55,2271.2,6.79,False,0.41,True,1.57,0.0091,2026-08-27 15:15:00,0,
TECHNOCRAF,359.6,18.67,27,27,9.72,0.0388,0.793,-0.323,3.59,0.74,39.51,100.0,0.24,373.0,361.81,384.19,428.95,336.76,9.72,339.5,8.98,False,0.35,True,1.54,0.00908,2026-08-27 15:15:00,0,
ASIANENE,492.7,32.99,38,30,9.88,0.0484,0.725,-0.33,1.05,0.29,11.63,100.0,0.17,497.95,483.01,512.89,572.64,448.75,9.88,450.0,9.63,False,0.05,True,1.52,0.03259,2026-08-27 15:15:00,0,
