symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
SBFC,99.95,10.5,12,29,5.52,0.021,0.746,0.198,3.19,0.53,6.41,100.0,0.36,103.24,100.14,106.34,118.73,97.54,5.52,97.95,5.12,False,0.25,True,2.72,0.00782,2026-09-01 15:15:00,0,
DCBBANK,224.25,21.68,44,22,6.33,0.0322,0.894,-0.341,0.54,0.39,17.58,100.0,0.27,225.47,218.71,232.23,259.29,211.19,6.33,211.7,6.11,False,0.14,True,2.37,0.02142,2026-09-01 15:15:00,0,
BALAMINES,2409.7,18.85,31,24,6.48,0.0348,0.655,0.062,1.84,0.42,17.66,99.8,0.41,2454.8,2381.16,2528.44,2823.02,2295.8,6.48,2318.5,5.55,False,0.47,True,2.31,0.01543,2026-09-01 15:15:00,0,
WELENT,705.55,22.83,45,30,7.08,0.0407,0.839,-0.108,0.91,0.26,9.87,100.0,0.25,712.0,690.64,733.36,818.8,661.6,7.08,664.25,6.71,False,0.33,True,2.12,0.0308,2026-09-01 15:15:00,0,
WAKEFIT,152.92,12.02,42,21,7.13,0.0376,0.63,-0.185,1.0,0.76,7.65,97.3,0.36,154.46,149.83,159.09,177.63,143.45,7.13,144.7,6.32,False,0.43,True,2.1,0.00637,2026-09-01 15:15:00,0,pct_of_60d_high 97.3% vs floor 97.0
KENNAMET,4558.2,34.52,45,20,7.82,0.0275,0.625,0.223,3.45,0.6,13.41,97.2,0.33,4721.1,4579.47,4862.73,5429.27,4352.0,7.82,4396.1,6.88,False,0.3,True,1.92,0.00892,2026-09-01 15:15:00,0,pct_of_60d_high 97.2% vs floor 97.0
PARAGMILK,259.1,22.28,29,30,9.61,0.0476,0.78,-0.378,1.22,0.64,8.1,100.0,0.31,262.3,254.43,270.17,301.64,237.1,9.61,237.65,9.4,False,0.14,True,1.56,0.01631,2026-09-01 15:15:00,0,
