symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,stop_inside_base,rrr_structural,score,last_ts
JUBLFOOD,507.3,10.02,17,21,3.31,0.0231,0.703,0.012,1.03,0.22,85.27,98.5,0.5,512.6,497.22,527.98,589.49,495.65,3.31,True,4.53,0.01381,2026-08-20 14:15:00
PAYTM,1603.6,15.92,43,30,4.93,0.0329,0.605,0.014,1.41,0.56,405.39,98.2,0.27,1626.5,1577.7,1675.3,1870.47,1546.3,4.93,True,3.04,0.00999,2026-08-20 14:15:00
