symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
DCBBANK,218.0,21.68,44,15,3.43,0.0229,0.679,0.002,0.32,0.23,17.79,99.4,0.27,218.7,212.14,225.26,251.5,211.19,3.43,211.7,3.2,False,0.14,True,4.37,0.01452,2026-08-31 15:15:00,0,
GODREJAGRO,615.3,11.5,16,24,3.9,0.0201,0.714,0.171,2.15,0.11,7.18,99.1,0.35,628.8,609.94,647.66,723.12,604.25,3.9,604.75,3.82,False,0.09,True,3.85,0.014,2026-08-31 15:15:00,0,
MCX,3400.0,13.42,45,23,4.56,0.0179,0.61,-0.235,0.0,0.73,565.88,100.0,0.16,3400.0,3298.0,3502.0,3910.0,3245.0,4.56,3273.0,3.74,False,0.76,True,3.29,0.00334,2026-08-31 15:15:00,0,
YATHARTH,1004.85,20.91,39,12,4.97,0.0202,0.705,-0.377,0.56,0.72,20.25,98.6,0.38,1010.55,980.23,1040.87,1162.13,960.3,4.97,961.2,4.88,False,0.09,True,3.02,0.00477,2026-08-31 15:15:00,0,
WELENT,688.8,22.83,45,23,5.09,0.031,0.785,0.111,1.25,0.24,11.29,100.0,0.25,697.5,676.57,718.43,802.12,662.0,5.09,664.25,4.77,False,0.28,True,2.95,0.02257,2026-08-31 15:15:00,0,
GSPCROP,639.5,13.19,28,23,5.18,0.0246,0.57,0.04,2.51,0.46,9.03,98.4,0.49,655.95,636.27,675.63,754.34,622.0,5.18,625.5,4.64,False,0.0,True,2.9,0.0083,2026-08-31 15:15:00,0,max_bar_share 0.49 vs cut 0.5
ENTERO,1809.9,30.86,45,12,5.21,0.022,0.509,0.152,1.67,0.81,18.07,100.0,0.2,1840.6,1785.38,1895.82,2116.69,1744.7,5.21,1756.9,4.55,False,0.39,True,2.88,0.00272,2026-08-31 15:15:00,0,
KTKBANK,336.0,10.66,45,24,5.26,0.0351,0.798,-0.013,1.9,0.69,55.74,100.0,0.33,342.5,332.22,352.78,393.87,324.5,5.26,325.25,5.04,False,0.15,True,2.85,0.00958,2026-08-31 15:15:00,0,
KABRAEXTRU,600.3,24.84,34,25,5.42,0.0266,0.569,0.075,1.99,0.43,8.8,98.0,0.29,612.5,594.12,630.88,704.38,579.3,5.42,583.4,4.75,False,0.37,True,2.77,0.01059,2026-08-31 15:15:00,0,
TBZ,305.7,26.07,43,14,5.91,0.036,0.679,0.051,1.78,0.4,17.87,99.6,0.34,311.25,301.91,320.59,357.94,292.85,5.91,294.0,5.54,False,0.22,True,2.54,0.01811,2026-08-31 15:15:00,0,
SOLARA,635.0,29.07,45,30,6.14,0.0292,0.698,-0.147,0.92,0.17,6.46,98.0,0.37,640.9,621.67,660.13,737.03,601.55,6.14,608.2,5.1,False,0.82,True,2.44,0.02169,2026-08-31 15:15:00,0,
MSTCLTD,751.1,15.79,45,27,6.9,0.0448,0.789,-0.053,1.44,0.65,14.88,100.0,0.29,762.1,739.24,784.96,876.41,709.55,6.9,712.05,6.57,False,0.06,True,2.17,0.01393,2026-08-31 15:15:00,0,
INDOBORAX,508.45,25.34,45,27,7.14,0.033,0.607,0.091,3.06,0.19,5.5,100.0,0.41,524.5,508.76,540.24,603.17,487.05,7.14,489.5,6.67,False,0.44,True,2.1,0.01962,2026-08-31 15:15:00,0,turnover 5.5cr vs floor 5.0
PARAGMILK,256.5,22.28,27,25,7.6,0.0556,0.743,-0.079,0.04,0.52,8.35,100.0,0.32,256.59,248.89,264.29,295.08,237.1,7.6,237.65,7.38,False,0.14,True,1.97,0.02414,2026-08-31 15:15:00,0,
TVSSRICHAK,5519.6,14.87,40,22,7.69,0.0335,0.82,-0.408,1.17,0.53,8.44,100.0,0.32,5585.0,5417.45,5752.55,6422.75,5155.3,7.69,5176.1,7.32,False,0.18,True,1.95,0.0148,2026-08-31 15:15:00,0,
FCL,50.91,20.33,45,23,8.28,0.0345,0.692,-0.205,2.47,0.7,31.86,100.0,0.27,52.2,50.63,53.77,60.03,47.88,8.28,48.35,7.38,False,0.69,True,1.81,0.00833,2026-08-31 15:15:00,0,
SUVEN,392.05,19.99,45,24,8.47,0.0515,0.851,-0.238,0.73,0.59,12.39,100.0,0.23,394.95,383.1,406.8,454.19,361.5,8.47,362.5,8.22,False,0.0,True,1.77,0.02152,2026-08-31 15:15:00,0,
AVADHSUGAR,852.1,24.4,37,28,9.38,0.0341,0.788,-0.415,2.27,0.3,9.8,98.6,0.39,871.85,845.69,898.01,1002.63,790.05,9.38,792.15,9.14,False,0.22,True,1.6,0.02277,2026-08-31 15:15:00,0,
