symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
CGCL,256.6,17.61,43,14,3.82,0.0153,0.452,-0.085,0.89,0.2,51.74,97.9,0.45,258.9,251.13,266.67,297.73,249.0,3.82,251.9,2.7,False,0.7,True,3.93,0.00648,2026-09-02 15:15:00,0,
MOL,65.93,14.03,8,12,5.52,0.0257,0.61,-0.005,1.6,0.38,6.03,99.6,0.38,67.0,64.99,69.01,77.05,63.3,5.52,63.54,5.16,False,-0.0,True,2.72,0.01099,2026-09-02 15:15:00,0,
GIPCL,205.94,23.38,42,23,5.63,0.0347,0.675,-0.109,0.85,0.37,9.1,100.0,0.17,207.7,201.47,213.93,238.85,196.01,5.63,197.52,4.9,False,0.48,True,2.66,0.01799,2026-09-02 15:15:00,0,
RPEL,1774.6,13.76,29,16,6.17,0.0325,0.672,-0.079,1.3,0.63,9.63,99.3,0.33,1798.0,1744.06,1851.94,2067.7,1687.1,6.17,1693.5,5.81,False,0.36,True,2.43,0.0091,2026-09-02 15:15:00,0,
CONFIPET,82.37,15.61,31,19,6.77,0.034,0.686,-0.073,2.41,0.72,10.12,97.7,0.36,84.4,81.87,86.93,97.06,78.69,6.77,79.1,6.28,False,0.3,True,2.22,0.00734,2026-09-02 15:15:00,0,
TFCILTD,145.9,13.64,24,29,7.17,0.038,0.789,-0.126,1.19,0.68,86.23,100.0,0.29,147.65,143.22,152.08,169.8,137.06,7.17,137.45,6.91,False,0.17,True,2.09,0.0108,2026-09-02 15:15:00,0,
JTLIND,92.4,17.41,27,18,7.33,0.0257,0.492,-0.246,1.57,0.79,8.58,100.0,0.3,93.87,91.05,96.69,107.95,86.99,7.33,87.38,6.91,False,0.14,True,2.05,0.00307,2026-09-02 15:15:00,0,
REDINGTON,362.6,13.99,45,26,7.5,0.042,0.757,0.121,2.53,0.82,79.1,98.3,0.47,372.0,360.84,383.16,427.8,344.1,7.5,347.8,6.51,False,0.83,True,2.0,0.00647,2026-09-02 15:15:00,0,
KENNAMET,4637.0,33.48,42,25,8.08,0.0331,0.581,-0.213,2.06,0.42,14.5,97.5,0.38,4734.7,4592.66,4876.74,5444.9,4352.0,8.08,4396.1,7.15,False,0.3,True,1.86,0.0146,2026-09-02 15:15:00,0,pct_of_60d_high 97.5% vs floor 97.0
