symbol,close,rally_pct,rally_bars,base_bars,base_depth_pct,curvature,r2,vertex_x,dist_from_lip_pct,vol_ratio,turnover_cr,pct_of_60d_high,max_bar_share,entry,sl,t1,t2,base_low,risk_pct_to_base_low,base_low_close,risk_pct_to_base_low_close,base_low_is_wick,base_low_wick_gap_pct,stop_inside_base,rrr_structural,score,last_ts,bars_behind_universe,edge_flags
JINDRILL,677.0,13.09,26,12,4.03,0.019,0.861,-0.042,1.02,0.65,13.03,99.6,0.21,684.0,663.48,704.52,786.6,656.45,4.03,663.75,2.96,False,0.62,True,3.72,0.00647,2026-09-08 15:15:00,0,
CHENNPETRO,1457.8,10.78,29,19,4.04,0.0209,0.656,-0.057,1.16,0.54,87.5,99.1,0.25,1474.9,1430.65,1519.15,1696.13,1415.3,4.04,1422.0,3.59,False,0.12,True,3.71,0.00684,2026-09-08 15:15:00,0,
SSWL,373.1,31.79,42,12,4.15,0.0193,0.559,0.077,1.03,0.15,13.72,98.3,0.22,377.0,365.69,388.31,433.55,361.35,4.15,363.0,3.71,False,0.21,True,3.61,0.01204,2026-09-08 15:15:00,0,
WELSPUNLIV,208.55,13.88,36,12,4.59,0.0187,0.805,0.48,2.71,0.73,55.03,99.2,0.17,214.37,207.94,220.8,246.53,204.54,4.59,205.19,4.28,False,0.21,True,3.27,0.00457,2026-09-08 15:15:00,0,
KLBRENG-B,459.7,20.75,45,14,5.16,0.0181,0.89,0.356,3.41,0.6,7.79,100.0,0.23,475.95,461.67,490.23,547.34,451.4,5.16,455.15,4.37,False,0.34,True,2.91,0.0075,2026-09-08 15:15:00,0,
WELENT,788.7,24.19,38,16,5.22,0.0253,0.605,0.206,3.66,0.54,17.17,99.2,0.22,818.7,794.14,843.26,941.5,775.95,5.22,780.8,4.63,False,0.1,True,2.87,0.00839,2026-09-08 15:15:00,0,
SAILIFE,1650.0,11.61,27,17,5.41,0.0232,0.832,-0.543,0.42,0.57,36.61,100.0,0.42,1657.0,1607.29,1706.71,1905.55,1567.4,5.41,1571.0,5.19,False,0.22,True,2.77,0.00915,2026-09-08 15:15:00,0,
SHILPAMED,960.5,12.38,44,21,5.67,0.0326,0.647,0.07,1.84,0.36,56.23,100.0,0.35,978.55,949.19,1007.91,1125.33,923.05,5.67,924.35,5.54,False,0.05,True,2.65,0.01478,2026-09-08 15:15:00,0,
DHOOTTRANS,1589.7,16.64,21,15,6.13,0.0165,0.614,-0.38,2.53,0.44,385.67,98.0,0.42,1631.0,1582.07,1679.93,1875.65,1531.1,6.13,1537.2,5.75,False,0.31,True,2.45,0.00649,2026-09-08 15:15:00,0,
DEEPINDS,818.7,19.4,20,17,6.88,0.0192,0.782,-0.543,0.35,0.74,15.74,100.0,0.3,821.55,796.9,846.2,944.78,765.0,6.88,777.5,5.36,False,0.8,True,2.18,0.00468,2026-09-08 15:15:00,0,
DCBBANK,229.55,10.44,45,27,7.13,0.0338,0.716,-0.282,2.23,0.68,24.79,100.0,0.31,234.79,227.75,241.83,270.01,218.05,7.13,218.49,6.94,False,0.08,True,2.1,0.00838,2026-09-08 15:15:00,0,
MANINDS,822.5,13.64,42,22,8.05,0.023,0.715,-0.641,2.54,0.55,33.24,100.0,0.42,843.9,818.58,869.22,970.48,776.0,8.05,778.0,7.81,False,0.18,True,1.86,0.00815,2026-09-08 15:15:00,0,
MANALIPETC,90.08,28.36,35,22,8.52,0.0428,0.667,-0.147,2.83,0.18,9.41,100.0,0.33,92.7,89.92,95.48,106.6,84.8,8.52,85.58,7.68,False,0.24,True,1.76,0.02922,2026-09-08 15:15:00,0,
AEROFLEX,573.5,16.35,45,30,9.55,0.0276,0.767,-0.525,1.82,0.63,37.88,100.0,0.34,584.15,566.63,601.67,671.77,528.35,9.55,531.85,8.95,False,0.21,True,1.57,0.00891,2026-09-08 15:15:00,0,
